etc.	623.816775633217
vivace	50.7845372436582
non-seulement	49.15168291266319
botaniquement	47.78635838731144
ordinairement	43.514879957335715
fraichement	40.95973576055266
promptement	39.28790981114235
copieusement	24.77811175638371
vulgairement	19.676735806540005
abondamment	18.443857623172836
avantageusement	14.379481703172745
journellement	12.136218003126713
obligeamment	10.778877831724385
improprement	10.532503481284971
excessivement	9.807260675061906
horizontalement	9.102163502345036
moyennement	8.057652936502164
graduellement	7.629754700495104
infailliblement	7.213035228273425
transversalement	7.00627059062085
convenablement	6.803323573425129
circulairement	6.467326699034631
surabondamment	6.399958712586353
diligemment	6.301497809315794
identiquement	6.143960364082899
verticalement	5.838358772105501
habituellement	5.783351394762419
originairement	5.621924516154287
ci-dessous	4.915168291266319
